ArrayTaskID  Nom_dossier  Année
1  10m_u_component_of_wind  1991
2  10m_u_component_of_wind  1992
3  10m_u_component_of_wind  1993
4  10m_u_component_of_wind  1994
5  10m_u_component_of_wind  1995
6  10m_u_component_of_wind  1996
7  10m_u_component_of_wind  1997
8  10m_u_component_of_wind  1998
9  10m_u_component_of_wind  1999
10  10m_u_component_of_wind  2000
11  10m_u_component_of_wind  2001
12  10m_u_component_of_wind  2002
13  10m_u_component_of_wind  2003
14  10m_u_component_of_wind  2004
15  10m_u_component_of_wind  2005
16  10m_u_component_of_wind  2006
17  10m_u_component_of_wind  2007
18  10m_u_component_of_wind  2008
19  10m_u_component_of_wind  2009
20  10m_u_component_of_wind  2010
21  10m_u_component_of_wind  2011
22  10m_u_component_of_wind  2012
23  10m_u_component_of_wind  2013
24  10m_u_component_of_wind  2014
25  10m_u_component_of_wind  2015
26  10m_u_component_of_wind  2016
27  10m_u_component_of_wind  2017
28  10m_u_component_of_wind  2018
29  10m_u_component_of_wind  2019
30  10m_u_component_of_wind  2020
31  10m_v_component_of_wind  1991
32  10m_v_component_of_wind  1992
33  10m_v_component_of_wind  1993
34  10m_v_component_of_wind  1994
35  10m_v_component_of_wind  1995
36  10m_v_component_of_wind  1996
37  10m_v_component_of_wind  1997
38  10m_v_component_of_wind  1998
39  10m_v_component_of_wind  1999
40  10m_v_component_of_wind  2000
41  10m_v_component_of_wind  2001
42  10m_v_component_of_wind  2002
43  10m_v_component_of_wind  2003
44  10m_v_component_of_wind  2004
45  10m_v_component_of_wind  2005
46  10m_v_component_of_wind  2006
47  10m_v_component_of_wind  2007
48  10m_v_component_of_wind  2008
49  10m_v_component_of_wind  2009
50  10m_v_component_of_wind  2010
51  10m_v_component_of_wind  2011
52  10m_v_component_of_wind  2012
53  10m_v_component_of_wind  2013
54  10m_v_component_of_wind  2014
55  10m_v_component_of_wind  2015
56  10m_v_component_of_wind  2016
57  10m_v_component_of_wind  2017
58  10m_v_component_of_wind  2018
59  10m_v_component_of_wind  2019
60  10m_v_component_of_wind  2020
61  2m_dewpoint_temperature  1991
62  2m_dewpoint_temperature  1992
63  2m_dewpoint_temperature  1993
64  2m_dewpoint_temperature  1994
65  2m_dewpoint_temperature  1995
66  2m_dewpoint_temperature  1996
67  2m_dewpoint_temperature  1997
68  2m_dewpoint_temperature  1998
69  2m_dewpoint_temperature  1999
70  2m_dewpoint_temperature  2000
71  2m_dewpoint_temperature  2001
72  2m_dewpoint_temperature  2002
73  2m_dewpoint_temperature  2003
74  2m_dewpoint_temperature  2004
75  2m_dewpoint_temperature  2005
76  2m_dewpoint_temperature  2006
77  2m_dewpoint_temperature  2007
78  2m_dewpoint_temperature  2008
79  2m_dewpoint_temperature  2009
80  2m_dewpoint_temperature  2010
81  2m_dewpoint_temperature  2011
82  2m_dewpoint_temperature  2012
83  2m_dewpoint_temperature  2013
84  2m_dewpoint_temperature  2014
85  2m_dewpoint_temperature  2015
86  2m_dewpoint_temperature  2016
87  2m_dewpoint_temperature  2017
88  2m_dewpoint_temperature  2018
89  2m_dewpoint_temperature  2019
90  2m_dewpoint_temperature  2020
91  2m_temperature  1991
92  2m_temperature  1992
93  2m_temperature  1993
94  2m_temperature  1994
95  2m_temperature  1995
96  2m_temperature  1996
97  2m_temperature  1997
98  2m_temperature  1998
99  2m_temperature  1999
100  2m_temperature  2000
101  2m_temperature  2001
102  2m_temperature  2002
103  2m_temperature  2003
104  2m_temperature  2004
105  2m_temperature  2005
106  2m_temperature  2006
107  2m_temperature  2007
108  2m_temperature  2008
109  2m_temperature  2009
110  2m_temperature  2010
111  2m_temperature  2011
112  2m_temperature  2012
113  2m_temperature  2013
114  2m_temperature  2014
115  2m_temperature  2015
116  2m_temperature  2016
117  2m_temperature  2017
118  2m_temperature  2018
119  2m_temperature  2019
120  2m_temperature  2020
121  cloud_base_height  1991
122  cloud_base_height  1992
123  cloud_base_height  1993
124  cloud_base_height  1994
125  cloud_base_height  1995
126  cloud_base_height  1996
127  cloud_base_height  1997
128  cloud_base_height  1998
129  cloud_base_height  1999
130  cloud_base_height  2000
131  cloud_base_height  2001
132  cloud_base_height  2002
133  cloud_base_height  2003
134  cloud_base_height  2004
135  cloud_base_height  2005
136  cloud_base_height  2006
137  cloud_base_height  2007
138  cloud_base_height  2008
139  cloud_base_height  2009
140  cloud_base_height  2010
141  cloud_base_height  2011
142  cloud_base_height  2012
143  cloud_base_height  2013
144  cloud_base_height  2014
145  cloud_base_height  2015
146  cloud_base_height  2016
147  cloud_base_height  2017
148  cloud_base_height  2018
149  cloud_base_height  2019
150  cloud_base_height  2020
151  convective_available_potential_energy  1991
152  convective_available_potential_energy  1992
153  convective_available_potential_energy  1993
154  convective_available_potential_energy  1994
155  convective_available_potential_energy  1995
156  convective_available_potential_energy  1996
157  convective_available_potential_energy  1997
158  convective_available_potential_energy  1998
159  convective_available_potential_energy  1999
160  convective_available_potential_energy  2000
161  convective_available_potential_energy  2001
162  convective_available_potential_energy  2002
163  convective_available_potential_energy  2003
164  convective_available_potential_energy  2004
165  convective_available_potential_energy  2005
166  convective_available_potential_energy  2006
167  convective_available_potential_energy  2007
168  convective_available_potential_energy  2008
169  convective_available_potential_energy  2009
170  convective_available_potential_energy  2010
171  convective_available_potential_energy  2011
172  convective_available_potential_energy  2012
173  convective_available_potential_energy  2013
174  convective_available_potential_energy  2014
175  convective_available_potential_energy  2015
176  convective_available_potential_energy  2016
177  convective_available_potential_energy  2017
178  convective_available_potential_energy  2018
179  convective_available_potential_energy  2019
180  convective_available_potential_energy  2020
181  convective_inhibition  1991
182  convective_inhibition  1992
183  convective_inhibition  1993
